
Using cache found in /home/daniel/.cache/torch/hub/pytorch_vision_v0.10.0
['features', 'avgpool', 'classifier']
******** Training ********
tensor(0.5759, grad_fn=<NllLossBackward0>)
tensor(0.0708, grad_fn=<NllLossBackward0>)
tensor(1.3765, grad_fn=<NllLossBackward0>)
tensor(0.4015, grad_fn=<NllLossBackward0>)
tensor(1.4175, grad_fn=<NllLossBackward0>)
tensor(1.7840, grad_fn=<NllLossBackward0>)
tensor(0.4496, grad_fn=<NllLossBackward0>)
tensor(0.1681, grad_fn=<NllLossBackward0>)
tensor(0.5265, grad_fn=<NllLossBackward0>)
tensor(0.6611, grad_fn=<NllLossBackward0>)
tensor(0.3377, grad_fn=<NllLossBackward0>)
tensor(1.6117, grad_fn=<NllLossBackward0>)
tensor(0.2165, grad_fn=<NllLossBackward0>)
tensor(0.0028, grad_fn=<NllLossBackward0>)
tensor(1.6518, grad_fn=<NllLossBackward0>)
tensor(0.4892, grad_fn=<NllLossBackward0>)
tensor(1.8842, grad_fn=<NllLossBackward0>)
tensor(0.1016, grad_fn=<NllLossBackward0>)
tensor(1.8114, grad_fn=<NllLossBackward0>)
tensor(0.2655, grad_fn=<NllLossBackward0>)
tensor(0.0358, grad_fn=<NllLossBackward0>)
tensor(0.1149, grad_fn=<NllLossBackward0>)
tensor(0.4178, grad_fn=<NllLossBackward0>)
tensor(1.4066, grad_fn=<NllLossBackward0>)
tensor(1.8311, grad_fn=<NllLossBackward0>)
tensor(0.2701, grad_fn=<NllLossBackward0>)
tensor(0.5036, grad_fn=<NllLossBackward0>)
tensor(0.0185, grad_fn=<NllLossBackward0>)
tensor(0.0100, grad_fn=<NllLossBackward0>)
tensor(1.2568, grad_fn=<NllLossBackward0>)
tensor(0.2074, grad_fn=<NllLossBackward0>)
tensor(0.1201, grad_fn=<NllLossBackward0>)
tensor(0.5582, grad_fn=<NllLossBackward0>)
tensor(0.3053, grad_fn=<NllLossBackward0>)
tensor(0.5310, grad_fn=<NllLossBackward0>)
tensor(0.1396, grad_fn=<NllLossBackward0>)
tensor(0.5885, grad_fn=<NllLossBackward0>)
tensor(0.0278, grad_fn=<NllLossBackward0>)
tensor(0.0005, grad_fn=<NllLossBackward0>)
tensor(0.0869, grad_fn=<NllLossBackward0>)
tensor(0.0026, grad_fn=<NllLossBackward0>)
tensor(0.5104, grad_fn=<NllLossBackward0>)
tensor(0.0002, grad_fn=<NllLossBackward0>)
tensor(0.0010, grad_fn=<NllLossBackward0>)
tensor(0.0902, grad_fn=<NllLossBackward0>)
tensor(9.5367e-06, grad_fn=<NllLossBackward0>)
tensor(0.0012, grad_fn=<NllLossBackward0>)
tensor(1.4305e-06, grad_fn=<NllLossBackward0>)
tensor(2.3842e-07, grad_fn=<NllLossBackward0>)
tensor(0.0164, grad_fn=<NllLossBackward0>)
tensor(2.3738, grad_fn=<NllLossBackward0>)
tensor(0.0056, grad_fn=<NllLossBackward0>)
tensor(0.0040, grad_fn=<NllLossBackward0>)
tensor(0.0011, grad_fn=<NllLossBackward0>)
tensor(9.6436e-05, grad_fn=<NllLossBackward0>)
